n,hfma_mean_ms,fma_mean_ms,count_hfma,count_fma
10,0.0130,0.0085,720,240
20,0.0211,0.0138,720,240
30,0.0309,0.0212,720,240
40,0.0421,0.0292,720,240
50,0.0522,0.0406,720,240
60,0.0671,0.0475,720,240
70,0.0847,0.0555,720,240
80,0.0983,0.0688,720,240
90,0.1080,0.0829,720,240
100,0.1234,0.0921,720,240
200,0.2365,0.2159,721,242
300,0.3695,0.3948,720,240
400,0.5758,0.6334,720,240
500,0.7593,0.9666,720,240
600,0.9960,1.2607,720,240
700,1.0860,1.5965,720,240
800,1.2050,2.0787,720,240
900,1.4442,2.6642,720,240
1000,1.6272,3.2219,722,240
10000,20.5767,480.6390,724,1
20000,48.0681,1256.1260,720,1
