n,hima_mean_ms,homa_mean_ms,hfma_on_inforest_ms,hfma_on_outforest_ms,speedup_in,speedup_out,count_hima,count_homa
10000,5.7171,5.8000,44.2258,23.6331,7.736,4.075,240,240
20000,11.6401,12.5065,110.6608,56.2702,9.507,4.499,240,240
30000,19.1688,21.4146,169.6724,95.4736,8.851,4.458,240,240
40000,28.0255,31.9993,275.6030,139.0678,9.834,4.346,240,240
50000,37.5549,43.6492,343.2851,199.2641,9.141,4.565,240,240
60000,60.3563,61.0711,539.7336,261.5685,8.942,4.283,240,240
70000,69.5138,73.7452,683.1576,320.2894,9.828,4.343,240,240
80000,82.2771,82.1736,812.0092,402.8877,9.869,4.903,240,240
90000,100.2280,93.0662,936.5432,486.6751,9.344,5.229,240,240
100000,110.8963,107.6740,1065.9509,519.1756,9.612,4.822,240,240
